Neighborhood,Borough,FIPS,Unbanked 2011,Underbanked 2011,Unbanked 2013,Underbanked 2013,Prepaid 2011,Prepaid 2013,% Foreign born 2011,% Poor 2011,Median Income 2011,Unemployment 2011,% Poor 2013,% Foreign born 2013,Median income 2013,Unemployment 2013,Neighborhood Tabulation Area Code (NTA Code),Borough Name, Total Population , Total Number of Households ,Home Broadband Adoption (Percentage of Households),"Home Broadband Adoption by Quartiles (High Connected, Medium High Connected, Medium Low Connected, Low Connected)",Mobile Broadband Adoption (Percentage of Households),"Mobile broadband adoption by Quartiles (High Connected, Medium High Connected, Medium Low Connected, Low Connected)",No Broadband (Percentage of Households),"No Broadand by Quartiles (High, Medium High, Medium Low, Low)",Commercial Fiber Max ISP Choice by NTA,Percentage of Blocks without a Commercial Fiber Provider,Percentage of Blocks without a Commercial Fiber Provider by Quartiles,Residential Broadband ISP Choice Average by NTA,Residential Broadband ISP Choice Average by Quartiles,Total Poles,Reserved Poles,Density of Poles Reserved and with Equipment Installed for Mobile Telecom Franchise,Public Wi-Fi in NYC Count,Number of Free Public Wi-Fi Access Points in a Pedestrian Corridor,Available Free Public Wi-Fi in a Pedestrian Corridor (Y/N),Number of Public Computer Centers with free public Wi-Fi,Number of Public Computer Center Workstations,Number of Public Computer Center Open Lab Hours
Woodlawn,Bronx,,,,,,,,,,,,,,,,BX62,Bronx,"44,715","15,400",0.59,Low Connected,0.78,Medium Low Connected,0.13,Medium Low,3,0.08,Medium Low,2.04,High,47,8,32.87,3,1,TRUE,2,52,1/4/00 4:00
Wakefield,Bronx,,,,,,,,,,,,,,,,BX62,Bronx,"44,715","15,400",0.59,Low Connected,0.78,Medium Low Connected,0.13,Medium Low,3,0.08,Medium Low,2.04,High,47,8,32.87,3,1,TRUE,2,52,1/4/00 4:00
Bath Beach,Brooklyn,,,,,,,,,,,,,,,,BK27,Brooklyn,"33,580","11,312",0.75,Medium High Connected,0.82,Medium High Connected,0.12,Medium Low,4,0.21,High,1.86,Medium Low,19,8,25.68,8,1,TRUE,1,26,1/2/00 5:00
Bensonhurst East,Brooklyn,,,,,,,,,,,,,,,,BK29,Brooklyn,"65,589","22,406",0.73,Medium High Connected,0.80,Medium Low Connected,0.15,Medium High,5,0.06,Medium Low,1.88,Medium Low,19,10,14.84,2,1,TRUE,2,31,1/4/00 0:00
Brighton Beach,Brooklyn,,,,,,,,,,,,,,,,BK19,Brooklyn,"34,814","14,441",0.67,Medium Low Connected,0.69,Low Connected,0.22,High,3,0.15,Medium High,1.86,Medium Low,13,7,20.97,1,1,TRUE,3,64,1/5/00 8:00
Bushwick South,Brooklyn,,,,,,,,,,,,,,,,BK78,Brooklyn,"72,809","27,431",0.61,Low Connected,0.79,Medium Low Connected,0.20,High,3,0.23,High,1.85,Medium Low,32,3,22.22,9,2,TRUE,8,161,1/12/00 23:00
Clinton Hill,Brooklyn,,,,,,,,,,,,,,,,BK69,Brooklyn,"39,245","16,676",0.78,High Connected,0.86,High Connected,0.13,Medium Low,4,0.15,Medium High,2.33,High,22,6,29.73,15,8,TRUE,3,80,1/5/00 20:00
Cypress Hills,Brooklyn,,,,,,,,,,,,,,,,BK83,Brooklyn,"48,738","14,955",0.74,Medium High Connected,0.86,High Connected,0.17,Medium High,4,0.01,Low,1.94,Medium High,20,13,20.20,10,8,TRUE,2,29,1/3/00 16:00
City Line,Brooklyn,,,,,,,,,,,,,,,,BK83,Brooklyn,"48,738","14,955",0.74,Medium High Connected,0.86,High Connected,0.17,Medium High,4,0.01,Low,1.94,Medium High,20,13,20.20,10,8,TRUE,2,29,1/3/00 16:00
DUMBO,Brooklyn,,,,,,,,,,,,,,,,BK38,Brooklyn,"46,573","20,118",0.81,High Connected,0.86,High Connected,0.09,Low,8,0.08,Medium Low,2.04,High,72,31,70.59,125,109,TRUE,3,41,1/3/00 9:00
Vinegar Hill,Brooklyn,,,,,,,,,,,,,,,,BK38,Brooklyn,"46,573","20,118",0.81,High Connected,0.86,High Connected,0.09,Low,8,0.08,Medium Low,2.04,High,72,31,70.59,125,109,TRUE,3,41,1/3/00 9:00
Downtown Brooklyn,Brooklyn,,,,,,,,,,,,,,,,BK38,Brooklyn,"46,573","20,118",0.81,High Connected,0.86,High Connected,0.09,Low,8,0.08,Medium Low,2.04,High,72,31,70.59,125,109,TRUE,3,41,1/3/00 9:00
Boerum Hill,Brooklyn,,,,,,,,,,,,,,,,BK38,Brooklyn,"46,573","20,118",0.81,High Connected,0.86,High Connected,0.09,Low,8,0.08,Medium Low,2.04,High,72,31,70.59,125,109,TRUE,3,41,1/3/00 9:00
Dyker Heights,Brooklyn,,,,,,,,,,,,,,,,BK30,Brooklyn,"43,840","14,543",0.75,Medium High Connected,0.80,Medium High Connected,0.13,Medium Low,4,0.03,Low,2.65,High,10,4,9.35,7,2,TRUE,2,24,1/4/00 0:00
East Flatbush-Farragut,Brooklyn,,,,,,,,,,,,,,,,BK91,Brooklyn,"51,633","18,567",0.73,Medium High Connected,0.77,Medium Low Connected,0.17,Medium High,3,0.04,Low,1.93,Medium High,35,18,28.46,7,6,TRUE,2,20,1/3/00 10:00
East Flatbush-Farragut,Brooklyn,,,,,,,,,,,,,,,,BK91,Brooklyn,"51,633","18,567",0.73,Medium High Connected,0.77,Medium Low Connected,0.17,Medium High,3,0.04,Low,1.93,Medium High,35,18,28.46,7,6,TRUE,2,20,1/3/00 10:00
East New York (Pennsylvania Ave),Brooklyn,,,,,,,,,,,,,,,,BK85,Brooklyn,"28,293","10,676",0.63,Medium Low Connected,0.82,Medium High Connected,0.21,High,4,0.00,Low,1.69,Low,25,6,35.71,0,0,FALSE,1,5,12/31/1899 11:00:00 AM
East Williamsburg,Brooklyn,,,,,,,,,,,,,,,,BK90,Brooklyn,"36,587","16,497",0.73,Medium High Connected,0.83,Medium High Connected,0.15,Medium Low,3,0.17,High,2.11,High,18,2,12.86,22,18,TRUE,4,44,1/4/00 14:00
Erasmus,Brooklyn,,,,,,,,,,,,,,,,BK95,Brooklyn,"28,355","10,034",0.64,Medium Low Connected,0.73,Low Connected,0.23,High,3,0.16,Medium High,1.30,Low,23,12,44.23,12,11,TRUE,0,0,12/31/1899 12:00:00 AM
Georgetown,Brooklyn,,,,,,,,,,,,,,,,BK45,Brooklyn,"46,179","16,052",0.80,High Connected,0.81,Medium High Connected,0.09,Low,3,0.05,Medium Low,1.96,Medium High,17,5,6.83,2,1,TRUE,1,22,1/2/00 0:00
Marine Park,Brooklyn,,,,,,,,,,,,,,,,BK45,Brooklyn,"46,179","16,052",0.80,High Connected,0.81,Medium High Connected,0.09,Low,3,0.05,Medium Low,1.96,Medium High,17,5,6.83,2,1,TRUE,1,22,1/2/00 0:00
Bergen Beach,Brooklyn,,,,,,,,,,,,,,,,BK45,Brooklyn,"46,179","16,052",0.80,High Connected,0.81,Medium High Connected,0.09,Low,3,0.05,Medium Low,1.96,Medium High,17,5,6.83,2,1,TRUE,1,22,1/2/00 0:00
Mill Basin,Brooklyn,,,,,,,,,,,,,,,,BK45,Brooklyn,"46,179","16,052",0.80,High Connected,0.81,Medium High Connected,0.09,Low,3,0.05,Medium Low,1.96,Medium High,17,5,6.83,2,1,TRUE,1,22,1/2/00 0:00
Homecrest,Brooklyn,,,,,,,,,,,,,,,,BK25,Brooklyn,"44,817","15,744",0.75,Medium High Connected,0.77,Low Connected,0.13,Medium Low,3,0.04,Low,1.95,Medium High,16,6,14.81,1,0,FALSE,3,25,1/5/00 8:00
Kensington,Brooklyn,,,,,,,,,,,,,,,,BK41,Brooklyn,"34,898","12,079",0.73,Medium High Connected,0.78,Medium Low Connected,0.17,Medium High,3,0.31,High,1.58,Low,13,0,22.81,2,1,TRUE,1,38,1/2/00 0:00
Ocean Parkway,Brooklyn,,,,,,,,,,,,,,,,BK41,Brooklyn,"34,898","12,079",0.73,Medium High Connected,0.78,Medium Low Connected,0.17,Medium High,3,0.31,High,1.58,Low,13,0,22.81,2,1,TRUE,1,38,1/2/00 0:00
Madison,Brooklyn,,,,,,,,,,,,,,,,BK44,Brooklyn,"41,116","14,744",0.77,Medium High Connected,0.75,Low Connected,0.14,Medium Low,3,0.02,Low,1.98,Medium High,23,7,23.47,1,0,FALSE,2,83,1/4/00 1:00
Midwood,Brooklyn,,,,,,,,,,,,,,,,BK43,Brooklyn,"53,408","18,495",0.67,Medium Low Connected,0.73,Low Connected,0.17,Medium High,4,0.11,Medium High,1.85,Medium Low,21,5,16.41,1,0,FALSE,2,35,1/3/00 13:00
North Side,Brooklyn,,,,,,,,,,,,,,,,BK73,Brooklyn,"57,774","25,403",0.76,Medium High Connected,0.87,High Connected,0.14,Medium Low,3,0.28,High,2.24,High,29,5,27.88,40,16,TRUE,2,25,1/3/00 12:30
South Side,Brooklyn,,,,,,,,,,,,,,,,BK73,Brooklyn,"57,774","25,403",0.76,Medium High Connected,0.87,High Connected,0.14,Medium Low,3,0.28,High,2.24,High,29,5,27.88,40,16,TRUE,2,25,1/3/00 12:30
Ocean Parkway South,Brooklyn,,,,,,,,,,,,,,,,BK46,Brooklyn,"20,364","6,636",0.66,Medium Low Connected,0.69,Low Connected,0.19,Medium High,2,0.09,Medium Low,1.93,Medium High,3,1,4.69,0,0,FALSE,0,0,12/31/1899 12:00:00 AM
Prospect Lefferts Gardens,Brooklyn,,,,,,,,,,,,,,,,BK60,Brooklyn,"67,938","27,558",0.66,Medium Low Connected,0.74,Low Connected,0.22,High,4,0.15,Medium High,1.80,Low,39,16,34.51,20,9,TRUE,3,102,1/4/00 13:30
Wingate,Brooklyn,,,,,,,,,,,,,,,,BK60,Brooklyn,"67,938","27,558",0.66,Medium Low Connected,0.74,Low Connected,0.22,High,4,0.15,Medium High,1.80,Low,39,16,34.51,20,9,TRUE,3,102,1/4/00 13:30
Rugby,Brooklyn,,,,,,,,,,,,,,,,BK96,Brooklyn,"54,956","21,203",0.67,Medium Low Connected,0.77,Medium Low Connected,0.19,Medium High,4,0.10,Medium High,1.87,Medium Low,43,17,36.75,1,1,TRUE,1,20,1/2/00 0:00
Remsen Village,Brooklyn,,,,,,,,,,,,,,,,BK96,Brooklyn,"54,956","21,203",0.67,Medium Low Connected,0.77,Medium Low Connected,0.19,Medium High,4,0.10,Medium High,1.87,Medium Low,43,17,36.75,1,1,TRUE,1,20,1/2/00 0:00
Stuyvesant Heights,Brooklyn,,,,,,,,,,,,,,,,BK35,Brooklyn,"70,238","27,231",0.65,Medium Low Connected,0.83,Medium High Connected,0.19,Medium High,3,0.21,High,1.57,Low,30,11,26.55,6,3,TRUE,6,110,1/9/00 3:00
Sunset Park West,Brooklyn,,,,,,,,,,,,,,,,BK32,Brooklyn,"53,266","16,357",0.65,Medium Low Connected,0.78,Medium Low Connected,0.20,Medium High,6,0.22,High,2.17,High,38,6,21.23,18,8,TRUE,2,35,1/3/00 21:00
West Brighton,Brooklyn,,,,,,,,,,,,,,,,BK23,Brooklyn,"17,252","8,547",0.67,Medium Low Connected,0.68,Low Connected,0.20,High,4,0.21,High,1.56,Low,7,2,22.58,0,0,FALSE,0,0,12/31/1899 12:00:00 AM
Windsor Terrace,Brooklyn,,,,,,,,,,,,,,,,BK40,Brooklyn,"22,759","9,259",0.85,High Connected,0.85,High Connected,0.09,Low,3,0.22,High,2.11,High,10,3,20.00,3,1,TRUE,1,22,1/2/00 0:00
Central Harlem South,Manhattan,,,,,,,,,,,,,,,,MN11,Manhattan,"49,945","20,143",0.73,Medium High Connected,0.80,Medium Low Connected,0.14,Medium Low,5,0.00,Low,1.87,Medium Low,47,10,90.38,69,41,TRUE,2,90,1/3/00 20:00
East Harlem South,Manhattan,,,,,,,,,,,,,,,,MN33,Manhattan,"58,553","24,659",0.63,Medium Low Connected,0.77,Medium Low Connected,0.21,High,6,0.00,Low,2.02,Medium High,55,13,91.67,20,16,TRUE,6,130,1/8/00 10:00
East Village,Manhattan,,,,,,,,,,,,,,,,MN22,Manhattan,"42,950","21,974",0.68,Medium Low Connected,0.87,High Connected,0.11,Low,5,0.00,Low,1.96,Medium High,49,3,125.64,58,54,TRUE,3,108,1/6/00 12:00
Gramercy,Manhattan,,,,,,,,,,,,,,,,MN21,Manhattan,"26,497","13,795",0.87,High Connected,0.88,High Connected,0.04,Low,8,0.00,Low,2.43,High,43,5,159.26,51,51,TRUE,2,45,1/3/00 12:00
Lenox Hill,Manhattan,,,,,,,,,,,,,,,,MN31,Manhattan,"82,085","42,062",0.85,High Connected,0.88,High Connected,0.05,Low,6,0.00,Low,2.20,High,88,4,114.29,52,43,TRUE,6,144,1/10/00 20:30
Roosevelt Island,Manhattan,,,,,,,,,,,,,,,,MN31,Manhattan,"82,085","42,062",0.85,High Connected,0.88,High Connected,0.05,Low,6,0.00,Low,2.20,High,88,4,114.29,52,43,TRUE,6,144,1/10/00 20:30
Lincoln Square,Manhattan,,,,,,,,,,,,,,,,MN14,Manhattan,"63,920","34,793",0.87,High Connected,0.89,High Connected,0.05,Low,8,0.00,Low,2.47,High,69,11,121.05,52,52,TRUE,6,236,1/10/00 21:00
Manhattanville,Manhattan,,,,,,,,,,,,,,,,MN06,Manhattan,"23,769","10,213",0.68,Medium Low Connected,0.77,Low Connected,0.21,High,4,0.00,Low,1.45,Low,19,7,50.00,19,15,TRUE,1,9,1/1/00 16:00
Murray Hill,Manhattan,,,,,,,,,,,,,,,,MN20,Manhattan,"49,853","26,537",0.84,High Connected,0.87,High Connected,0.07,Low,11,0.00,Low,2.49,High,69,9,132.69,82,81,TRUE,2,107,1/5/00 14:00
Kips Bay,Manhattan,,,,,,,,,,,,,,,,MN20,Manhattan,"49,853","26,537",0.84,High Connected,0.87,High Connected,0.07,Low,11,0.00,Low,2.49,High,69,9,132.69,82,81,TRUE,2,107,1/5/00 14:00
SoHo,Manhattan,,,,,,,,,,,,,,,,MN24,Manhattan,"43,835","19,962",0.82,High Connected,0.88,High Connected,0.09,Low,13,0.00,Low,1.81,Medium Low,158,13,175.56,58,35,TRUE,3,112,1/5/00 13:00
TriBeCa,Manhattan,,,,,,,,,,,,,,,,MN24,Manhattan,"43,835","19,962",0.82,High Connected,0.88,High Connected,0.09,Low,13,0.00,Low,1.81,Medium Low,158,13,175.56,58,35,TRUE,3,112,1/5/00 13:00
Civic Center,Manhattan,,,,,,,,,,,,,,,,MN24,Manhattan,"43,835","19,962",0.82,High Connected,0.88,High Connected,0.09,Low,13,0.00,Low,1.81,Medium Low,158,13,175.56,58,35,TRUE,3,112,1/5/00 13:00
Little Italy,Manhattan,,,,,,,,,,,,,,,,MN24,Manhattan,"43,835","19,962",0.82,High Connected,0.88,High Connected,0.09,Low,13,0.00,Low,1.81,Medium Low,158,13,175.56,58,35,TRUE,3,112,1/5/00 13:00
Washington Heights South,Manhattan,,,,,,,,,,,,,,,,MN36,Manhattan,"91,865","30,516",0.67,Medium Low Connected,0.80,Medium Low Connected,0.20,Medium High,4,0.00,Low,1.49,Low,60,19,72.29,48,34,TRUE,6,173,1/11/00 22:30
Yorkville,Manhattan,,,,,,,,,,,,,,,,MN32,Manhattan,"78,459","41,439",0.85,High Connected,0.88,High Connected,0.07,Low,6,0.00,Low,2.63,High,29,1,59.18,14,14,TRUE,2,28,1/2/00 7:00
Auburndale,Queens,,,,,,,,,,,,,,,,QN48,Queens,"20,240","7,046",0.76,Medium High Connected,0.79,Medium Low Connected,0.10,Low,3,0.06,Medium Low,1.96,Medium High,32,18,26.02,1,1,TRUE,1,10,1/1/00 20:00
Baisley Park,Queens,,,,,,,,,,,,,,,,QN76,Queens,"37,849","11,218",0.59,Low Connected,0.85,High Connected,0.18,Medium High,2,0.05,Medium Low,1.95,Medium High,38,26,24.05,17,1,TRUE,2,25,1/3/00 12:00
Briarwood,Queens,,,,,,,,,,,,,,,,QN35,Queens,"43,761","14,236",0.76,Medium High Connected,0.84,High Connected,0.12,Medium Low,4,0.11,Medium High,1.91,Medium Low,32,18,30.48,2,0,FALSE,1,27,1/1/00 20:00
Jamaica Hills,Queens,,,,,,,,,,,,,,,,QN35,Queens,"43,761","14,236",0.76,Medium High Connected,0.84,High Connected,0.12,Medium Low,4,0.11,Medium High,1.91,Medium Low,32,18,30.48,2,0,FALSE,1,27,1/1/00 20:00
Cambria Heights,Queens,,,,,,,,,,,,,,,,QN33,Queens,"21,032","6,264",0.76,Medium High Connected,0.82,Medium High Connected,0.11,Low,2,0.05,Medium Low,2.01,Medium High,29,19,24.37,1,1,TRUE,1,21,1/1/00 23:00
College Point,Queens,,,,,,,,,,,,,,,,QN23,Queens,"24,750","7,783",0.62,Medium Low Connected,0.75,Low Connected,0.20,High,3,0.07,Medium Low,1.97,Medium High,19,7,10.50,1,0,FALSE,1,11,1/1/00 20:00
East Elmhurst,Queens,,,,,,,,,,,,,,,,QN27,Queens,"18,752","5,221",0.73,Medium High Connected,0.81,Medium High Connected,0.17,Medium High,3,0.13,Medium High,1.91,Medium Low,19,11,26.76,3,3,TRUE,3,72,1/5/00 11:00
East Flushing,Queens,,,,,,,,,,,,,,,,QN52,Queens,"25,274","8,214",0.66,Medium Low Connected,0.72,Low Connected,0.21,High,2,0.01,Low,2.02,Medium High,22,7,20.75,4,0,FALSE,2,24,1/3/00 18:00
Elmhurst,Queens,,,,,,,,,,,,,,,,QN50,Queens,"23,789","7,686",0.76,Medium High Connected,0.85,High Connected,0.13,Medium Low,2,0.19,High,2.64,High,11,4,13.92,12,10,TRUE,0,0,12/31/1899 12:00:00 AM
Maspeth,Queens,,,,,,,,,,,,,,,,QN50,Queens,"23,789","7,686",0.76,Medium High Connected,0.85,High Connected,0.13,Medium Low,2,0.19,High,2.64,High,11,4,13.92,12,10,TRUE,0,0,12/31/1899 12:00:00 AM
Far Rockaway,Queens,,,,,,,,,,,,,,,,QN15,Queens,"57,757","17,382",0.65,Medium Low Connected,0.73,Low Connected,0.20,Medium High,3,0.08,Medium Low,2.02,Medium High,8,6,4.12,11,6,TRUE,6,142,1/9/00 16:00
Bayswater,Queens,,,,,,,,,,,,,,,,QN15,Queens,"57,757","17,382",0.65,Medium Low Connected,0.73,Low Connected,0.20,Medium High,3,0.08,Medium Low,2.02,Medium High,8,6,4.12,11,6,TRUE,6,142,1/9/00 16:00
Ft. Totten,Queens,,,,,,,,,,,,,,,,QN47,Queens,"21,990","10,076",0.76,Medium High Connected,0.78,Medium Low Connected,0.12,Medium Low,4,0.29,High,1.61,Low,21,5,12.65,2,1,TRUE,3,36,1/5/00 5:30
Bay Terrace,Queens,,,,,,,,,,,,,,,,QN47,Queens,"21,990","10,076",0.76,Medium High Connected,0.78,Medium Low Connected,0.12,Medium Low,4,0.29,High,1.61,Low,21,5,12.65,2,1,TRUE,3,36,1/5/00 5:30
Clearview,Queens,,,,,,,,,,,,,,,,QN47,Queens,"21,990","10,076",0.76,Medium High Connected,0.78,Medium Low Connected,0.12,Medium Low,4,0.29,High,1.61,Low,21,5,12.65,2,1,TRUE,3,36,1/5/00 5:30
Glen Oaks,Queens,,,,,,,,,,,,,,,,QN44,Queens,"24,631","9,184",0.75,Medium High Connected,0.79,Medium Low Connected,0.13,Medium Low,2,0.10,Medium High,2.20,High,17,15,10.37,1,0,FALSE,1,24,1/1/00 20:00
Floral Park,Queens,,,,,,,,,,,,,,,,QN44,Queens,"24,631","9,184",0.75,Medium High Connected,0.79,Medium Low Connected,0.13,Medium Low,2,0.10,Medium High,2.20,High,17,15,10.37,1,0,FALSE,1,24,1/1/00 20:00
New Hyde Park,Queens,,,,,,,,,,,,,,,,QN44,Queens,"24,631","9,184",0.75,Medium High Connected,0.79,Medium Low Connected,0.13,Medium Low,2,0.10,Medium High,2.20,High,17,15,10.37,1,0,FALSE,1,24,1/1/00 20:00
Glendale,Queens,,,,,,,,,,,,,,,,QN19,Queens,"35,677","12,077",0.77,Medium High Connected,0.83,Medium High Connected,0.14,Medium Low,2,0.05,Medium Low,1.96,Medium High,17,12,15.74,1,1,TRUE,1,22,1/1/00 23:00
Hammels,Queens,,,,,,,,,,,,,,,,QN12,Queens,"42,665","14,344",0.67,Medium Low Connected,0.82,Medium High Connected,0.19,Medium High,2,0.33,High,1.72,Low,5,3,2.25,9,2,TRUE,6,156,1/11/00 1:00
Arverne,Queens,,,,,,,,,,,,,,,,QN12,Queens,"42,665","14,344",0.67,Medium Low Connected,0.82,Medium High Connected,0.19,Medium High,2,0.33,High,1.72,Low,5,3,2.25,9,2,TRUE,6,156,1/11/00 1:00
Edgemere,Queens,,,,,,,,,,,,,,,,QN12,Queens,"42,665","14,344",0.67,Medium Low Connected,0.82,Medium High Connected,0.19,Medium High,2,0.33,High,1.72,Low,5,3,2.25,9,2,TRUE,6,156,1/11/00 1:00
Hollis,Queens,,,,,,,,,,,,,,,,QN07,Queens,"20,714","6,772",0.59,Low Connected,0.85,High Connected,0.13,Medium Low,3,0.03,Low,1.97,Medium High,9,8,10.98,1,1,TRUE,1,32,1/1/00 20:00
Jamaica Estates,Queens,,,,,,,,,,,,,,,,QN06,Queens,"27,296","9,424",0.71,Medium Low Connected,0.86,High Connected,0.10,Low,3,0.12,Medium High,1.91,Medium Low,11,7,7.19,1,1,TRUE,1,18,1/1/00 20:00
Holliswood,Queens,,,,,,,,,,,,,,,,QN06,Queens,"27,296","9,424",0.71,Medium Low Connected,0.86,High Connected,0.10,Low,3,0.12,Medium High,1.91,Medium Low,11,7,7.19,1,1,TRUE,1,18,1/1/00 20:00
Kew Gardens Hills,Queens,,,,,,,,,,,,,,,,QN37,Queens,"37,538","12,905",0.74,Medium High Connected,0.80,Medium High Connected,0.12,Medium Low,3,0.17,High,1.87,Medium Low,27,8,19.85,1,0,FALSE,2,28,1/3/00 7:00
Laurelton,Queens,,,,,,,,,,,,,,,,QN66,Queens,"25,941","8,141",0.55,Low Connected,0.82,Medium High Connected,0.14,Medium Low,2,0.01,Low,1.99,Medium High,35,17,24.48,1,0,FALSE,1,36,1/1/00 20:00
Maspeth,Queens,,,,,,,,,,,,,,,,QN30,Queens,"33,329","10,943",0.77,High Connected,0.82,Medium High Connected,0.13,Medium Low,3,0.12,Medium High,2.67,High,11,8,8.59,1,1,TRUE,2,29,1/3/00 9:30
Murray Hill,Queens,,,,,,,,,,,,,,,,QN51,Queens,"50,102","17,604",0.61,Low Connected,0.74,Low Connected,0.21,High,3,0.03,Low,2.00,Medium High,49,16,26.06,6,0,FALSE,1,18,12/31/1899 02:00:00 PM
North Corona,Queens,,,,,,,,,,,,,,,,QN26,Queens,"54,859","12,187",0.62,Low Connected,0.87,High Connected,0.16,Medium High,3,0.04,Low,2.45,High,30,17,46.15,2,1,TRUE,5,74,1/8/00 2:00
Oakland Gardens,Queens,,,,,,,,,,,,,,,,QN42,Queens,"29,840","11,316",0.78,High Connected,0.82,Medium High Connected,0.09,Low,3,0.08,Medium Low,1.98,Medium High,27,15,14.75,1,0,FALSE,2,21,1/2/00 12:30
Old Astoria,Queens,,,,,,,,,,,,,,,,QN71,Queens,"23,694","10,527",0.76,Medium High Connected,0.84,High Connected,0.12,Medium Low,3,0.09,Medium Low,2.86,High,19,14,33.93,7,7,TRUE,3,52,1/4/00 11:00
Queens Village,Queens,,,,,,,,,,,,,,,,QN34,Queens,"54,518","14,865",0.78,High Connected,0.84,High Connected,0.11,Low,2,0.07,Medium Low,1.97,Medium High,13,7,5.22,1,0,FALSE,1,21,1/1/00 20:00
Queensboro Hill,Queens,,,,,,,,,,,,,,,,QN62,Queens,"20,166","5,861",0.62,Low Connected,0.77,Low Connected,0.20,High,3,0.08,Medium Low,1.92,Medium Low,23,9,24.21,7,0,FALSE,1,13,1/1/00 12:00
Queensbridge,Queens,,,,,,,,,,,,,,,,QN68,Queens,"18,938","8,037",0.66,Medium Low Connected,0.76,Low Connected,0.23,High,4,0.08,Medium Low,2.65,High,31,24,36.90,29,14,TRUE,6,144,1/8/00 15:00
Ravenswood,Queens,,,,,,,,,,,,,,,,QN68,Queens,"18,938","8,037",0.66,Medium Low Connected,0.76,Low Connected,0.23,High,4,0.08,Medium Low,2.65,High,31,24,36.90,29,14,TRUE,6,144,1/8/00 15:00
Long Island City,Queens,,,,,,,,,,,,,,,,QN68,Queens,"18,938","8,037",0.66,Medium Low Connected,0.76,Low Connected,0.23,High,4,0.08,Medium Low,2.65,High,31,24,36.90,29,14,TRUE,6,144,1/8/00 15:00
Richmond Hill,Queens,,,,,,,,,,,,,,,,QN54,Queens,"65,274","17,234",0.75,Medium High Connected,0.85,High Connected,0.13,Medium Low,3,0.06,Medium Low,1.94,Medium High,57,31,31.15,29,23,TRUE,2,29,1/3/00 12:00
South Jamaica,Queens,,,,,,,,,,,,,,,,QN01,Queens,"43,789","12,335",0.66,Medium Low Connected,0.83,Medium High Connected,0.18,Medium High,3,0.06,Medium Low,1.94,Medium High,29,13,20.28,7,1,TRUE,4,45,1/6/00 20:00
South Ozone Park,Queens,,,,,,,,,,,,,,,,QN55,Queens,"80,664","21,409",0.76,Medium High Connected,0.84,High Connected,0.11,Low,2,0.08,Medium Low,1.93,Medium High,48,27,16.22,2,1,TRUE,2,50,1/3/00 19:00
Springfield Gardens North,Queens,,,,,,,,,,,,,,,,QN02,Queens,"27,046","10,606",0.62,Low Connected,0.82,Medium High Connected,0.20,High,3,0.02,Low,1.95,Medium High,5,4,4.90,5,2,TRUE,5,75,1/9/00 6:00
Springfield Gardens South,Queens,,,,,,,,,,,,,,,,QN03,Queens,"22,196","5,940",0.56,Low Connected,0.85,High Connected,0.16,Medium High,4,0.20,High,1.80,Low,25,21,16.13,0,0,FALSE,0,0,12/31/1899 12:00:00 AM
Brookville,Queens,,,,,,,,,,,,,,,,QN03,Queens,"22,196","5,940",0.56,Low Connected,0.85,High Connected,0.16,Medium High,4,0.20,High,1.80,Low,25,21,16.13,0,0,FALSE,0,0,12/31/1899 12:00:00 AM
St. Albans,Queens,,,,,,,,,,,,,,,,QN08,Queens,"53,151","15,891",0.53,Low Connected,0.84,High Connected,0.15,Medium High,2,0.02,Low,1.98,Medium High,33,24,11.87,20,1,TRUE,1,21,1/1/00 20:00
Steinway,Queens,,,,,,,,,,,,,,,,QN72,Queens,"47,234","19,263",0.80,High Connected,0.83,Medium High Connected,0.12,Medium Low,3,0.21,High,2.70,High,48,32,23.19,1,1,TRUE,1,31,1/1/00 23:00